"Data","Fechamento","Tipo"
"2020-05-11T00:00:00.000+00:00","8.579","---"
"2020-05-12T00:00:00.000+00:00","8.813","ENTRY"
"2020-05-13T00:00:00.000+00:00","9.298","---"
"2020-05-14T00:00:00.000+00:00","9.778","---"
"2020-05-15T00:00:00.000+00:00","9.318","EXIT"
"2020-05-16T00:00:00.000+00:00","9.379","---"
"2020-05-17T00:00:00.000+00:00","9.677","ENTRY"
"2020-05-18T00:00:00.000+00:00","9.73","---"
"2020-05-19T00:00:00.000+00:00","9.773","---"
"2020-05-20T00:00:00.000+00:00","9.512","EXIT"
"2020-05-21T00:00:00.000+00:00","9.059","---"
"2020-05-22T00:00:00.000+00:00","9.169","---"
"2020-05-23T00:00:00.000+00:00","9.177","---"
"2020-05-24T00:00:00.000+00:00","8.728","---"
"2020-05-25T00:00:00.000+00:00","8.898","---"
"2020-05-26T00:00:00.000+00:00","8.842","---"
"2020-05-27T00:00:00.000+00:00","9.199","ENTRY"
"2020-05-28T00:00:00.000+00:00","9.572","---"
"2020-05-29T00:00:00.000+00:00","9.424","---"
"2020-05-30T00:00:00.000+00:00","9.692","---"
"2020-05-31T00:00:00.000+00:00","9.454","EXIT"
"2020-06-01T00:00:00.000+00:00","10.189","ENTRY"
"2020-06-02T00:00:00.000+00:00","9.527","EXIT"
"2020-06-03T00:00:00.000+00:00","9.667","---"
"2020-06-04T00:00:00.000+00:00","9.794","ENTRY"
"2020-06-05T00:00:00.000+00:00","9.631","EXIT"
"2020-06-06T00:00:00.000+00:00","9.669","---"
"2020-06-07T00:00:00.000+00:00","9.742","ENTRY"
"2020-06-08T00:00:00.000+00:00","9.777","---"
"2020-06-09T00:00:00.000+00:00","9.768","---"
"2020-06-10T00:00:00.000+00:00","9.878","---"
"2020-06-11T00:00:00.000+00:00","9.283","EXIT"
"2020-06-12T00:00:00.000+00:00","9.466","---"
"2020-06-13T00:00:00.000+00:00","9.471","---"
"2020-06-14T00:00:00.000+00:00","9.345","---"
"2020-06-15T00:00:00.000+00:00","9.425","ENTRY"
"2020-06-16T00:00:00.000+00:00","9.523","---"
"2020-06-17T00:00:00.000+00:00","9.464","EXIT"
"2020-06-18T00:00:00.000+00:00","9.388","---"
"2020-06-19T00:00:00.000+00:00","9.314","---"
"2020-06-20T00:00:00.000+00:00","9.358","---"
"2020-06-21T00:00:00.000+00:00","9.296","---"
"2020-06-22T00:00:00.000+00:00","9.683","ENTRY"
"2020-06-23T00:00:00.000+00:00","9.624","---"
"2020-06-24T00:00:00.000+00:00","9.302","EXIT"
"2020-06-25T00:00:00.000+00:00","9.247","---"
"2020-06-26T00:00:00.000+00:00","9.16","---"
"2020-06-27T00:00:00.000+00:00","9.008","---"
"2020-06-28T00:00:00.000+00:00","9.124","ENTRY"
"2020-06-29T00:00:00.000+00:00","9.185","---"
"2020-06-30T00:00:00.000+00:00","9.135","EXIT"
"2020-07-01T00:00:00.000+00:00","9.229","ENTRY"
"2020-07-02T00:00:00.000+00:00","9.085","EXIT"
"2020-07-03T00:00:00.000+00:00","9.067","ENTRY"
"2020-07-04T00:00:00.000+00:00","9.134","---"
"2020-07-05T00:00:00.000+00:00","9.081","EXIT"
"2020-07-06T00:00:00.000+00:00","9.339","ENTRY"
"2020-07-07T00:00:00.000+00:00","9.256","---"
"2020-07-08T00:00:00.000+00:00","9.429","---"
"2020-07-09T00:00:00.000+00:00","9.235","EXIT"
"2020-07-10T00:00:00.000+00:00","9.285","---"
"2020-07-11T00:00:00.000+00:00","9.233","---"
"2020-07-12T00:00:00.000+00:00","9.3","ENTRY"
"2020-07-13T00:00:00.000+00:00","9.243","EXIT"
"2020-07-14T00:00:00.000+00:00","9.253","---"
"2020-07-15T00:00:00.000+00:00","9.198","---"
"2020-07-16T00:00:00.000+00:00","9.135","---"
"2020-07-17T00:00:00.000+00:00","9.155","---"
"2020-07-18T00:00:00.000+00:00","9.17","ENTRY"
"2020-07-19T00:00:00.000+00:00","9.208","---"
"2020-07-20T00:00:00.000+00:00","9.162","EXIT"
"2020-07-21T00:00:00.000+00:00","9.387","ENTRY"
"2020-07-22T00:00:00.000+00:00","9.513","---"
"2020-07-23T00:00:00.000+00:00","9.599","---"
"2020-07-24T00:00:00.000+00:00","9.546","---"
"2020-07-25T00:00:00.000+00:00","9.704","---"
"2020-07-26T00:00:00.000+00:00","9.932","---"
"2020-07-27T00:00:00.000+00:00","11.022","---"
"2020-07-28T00:00:00.000+00:00","10.908","---"
"2020-07-29T00:00:00.000+00:00","11.105","---"
"2020-07-30T00:00:00.000+00:00","11.096","---"
"2020-07-31T00:00:00.000+00:00","11.333","---"
"2020-08-01T00:00:00.000+00:00","11.803","EXIT"
"2020-08-02T00:00:00.000+00:00","11.066","---"
"2020-08-03T00:00:00.000+00:00","11.224","---"
"2020-08-04T00:00:00.000+00:00","11.184","---"
"2020-08-05T00:00:00.000+00:00","11.735","ENTRY"
"2020-08-06T00:00:00.000+00:00","11.757","---"
"2020-08-07T00:00:00.000+00:00","11.592","ENTRY"
"2020-08-08T00:00:00.000+00:00","11.764","---"
"2020-08-09T00:00:00.000+00:00","11.681","EXIT"
"2020-08-10T00:00:00.000+00:00","11.889","EXIT"
"2020-08-11T00:00:00.000+00:00","11.39","---"
"2020-08-12T00:00:00.000+00:00","11.557","---"
"2020-08-13T00:00:00.000+00:00","11.77","ENTRY"
"2020-08-14T00:00:00.000+00:00","11.75","---"
"2020-08-15T00:00:00.000+00:00","11.845","---"
"2020-08-16T00:00:00.000+00:00","11.899","---"
"2020-08-17T00:00:00.000+00:00","12.282","EXIT"
"2020-08-18T00:00:00.000+00:00","11.947","---"
"2020-08-19T00:00:00.000+00:00","11.75","---"
"2020-08-20T00:00:00.000+00:00","11.856","---"
"2020-08-21T00:00:00.000+00:00","11.529","---"
"2020-08-22T00:00:00.000+00:00","11.661","---"
"2020-08-23T00:00:00.000+00:00","11.641","---"
"2020-08-24T00:00:00.000+00:00","11.753","ENTRY"
"2020-08-25T00:00:00.000+00:00","11.324","EXIT"
"2020-08-26T00:00:00.000+00:00","11.462","---"
"2020-08-27T00:00:00.000+00:00","11.327","---"
"2020-08-28T00:00:00.000+00:00","11.527","ENTRY"
"2020-08-29T00:00:00.000+00:00","11.468","EXIT"
"2020-08-30T00:00:00.000+00:00","11.702","ENTRY"
"2020-08-31T00:00:00.000+00:00","11.644","---"
"2020-09-01T00:00:00.000+00:00","11.914","---"
"2020-09-02T00:00:00.000+00:00","11.413","EXIT"
"2020-09-03T00:00:00.000+00:00","10.168","---"
"2020-09-04T00:00:00.000+00:00","10.472","---"
"2020-09-05T00:00:00.000+00:00","10.092","---"
"2020-09-06T00:00:00.000+00:00","10.296","ENTRY"
"2020-09-07T00:00:00.000+00:00","10.376","---"
"2020-09-08T00:00:00.000+00:00","10.126","EXIT"
"2020-09-09T00:00:00.000+00:00","10.224","ENTRY"
"2020-09-10T00:00:00.000+00:00","10.339","---"
"2020-09-11T00:00:00.000+00:00","10.39","---"
"2020-09-12T00:00:00.000+00:00","10.441","---"
"2020-09-13T00:00:00.000+00:00","10.326","EXIT"
"2020-09-14T00:00:00.000+00:00","10.675","ENTRY"
"2020-09-15T00:00:00.000+00:00","10.785","---"
"2020-09-16T00:00:00.000+00:00","10.949","---"
"2020-09-17T00:00:00.000+00:00","10.941","---"
"2020-09-18T00:00:00.000+00:00","10.933","---"
"2020-09-19T00:00:00.000+00:00","11.081","---"
"2020-09-20T00:00:00.000+00:00","10.921","EXIT"
"2020-09-21T00:00:00.000+00:00","10.416","---"
"2020-09-22T00:00:00.000+00:00","10.531","---"
"2020-09-23T00:00:00.000+00:00","10.237","---"
"2020-09-24T00:00:00.000+00:00","10.739","ENTRY"
"2020-09-25T00:00:00.000+00:00","10.688","---"
"2020-09-26T00:00:00.000+00:00","10.727","---"
"2020-09-27T00:00:00.000+00:00","10.776","---"
"2020-09-28T00:00:00.000+00:00","10.693","EXIT"
"2020-09-29T00:00:00.000+00:00","10.84","ENTRY"
"2020-09-30T00:00:00.000+00:00","10.776","EXIT"
"2020-10-01T00:00:00.000+00:00","10.62","---"
"2020-10-02T00:00:00.000+00:00","10.572","---"
"2020-10-03T00:00:00.000+00:00","10.544","ENTRY"
"2020-10-04T00:00:00.000+00:00","10.672","---"
"2020-10-05T00:00:00.000+00:00","10.789","EXIT"
"2020-10-06T00:00:00.000+00:00","10.602","ENTRY"
"2020-10-07T00:00:00.000+00:00","10.67","---"
"2020-10-08T00:00:00.000+00:00","10.924","---"
"2020-10-09T00:00:00.000+00:00","11.054","---"
"2020-10-10T00:00:00.000+00:00","11.298","---"
"2020-10-11T00:00:00.000+00:00","11.371","---"
"2020-10-12T00:00:00.000+00:00","11.533","EXIT"
"2020-10-13T00:00:00.000+00:00","11.423","---"
"2020-10-14T00:00:00.000+00:00","11.42","---"
"2020-10-15T00:00:00.000+00:00","11.503","EXIT"
"2020-10-16T00:00:00.000+00:00","11.322","---"
"2020-10-17T00:00:00.000+00:00","11.362","---"
"2020-10-18T00:00:00.000+00:00","11.506","ENTRY"
"2020-10-19T00:00:00.000+00:00","11.753","---"
"2020-10-20T00:00:00.000+00:00","11.913","---"
"2020-10-21T00:00:00.000+00:00","12.808","---"
"2020-10-22T00:00:00.000+00:00","12.974","---"
"2020-10-23T00:00:00.000+00:00","12.934","---"
"2020-10-24T00:00:00.000+00:00","13.117","---"
"2020-10-25T00:00:00.000+00:00","13.032","EXIT"
"2020-10-26T00:00:00.000+00:00","13.061","---"
"2020-10-27T00:00:00.000+00:00","13.657","ENTRY"
"2020-10-28T00:00:00.000+00:00","13.278","EXIT"
"2020-10-29T00:00:00.000+00:00","13.457","---"
"2020-10-30T00:00:00.000+00:00","13.559","---"
"2020-10-31T00:00:00.000+00:00","13.797","ENTRY"
"2020-11-01T00:00:00.000+00:00","13.759","EXIT"
"2020-11-02T00:00:00.000+00:00","13.561","---"
"2020-11-03T00:00:00.000+00:00","14.019","ENTRY"
"2020-11-04T00:00:00.000+00:00","14.145","---"
"2020-11-05T00:00:00.000+00:00","15.587","---"
"2020-11-06T00:00:00.000+00:00","15.577","---"
"2020-11-07T00:00:00.000+00:00","14.828","EXIT"
"2020-11-08T00:00:00.000+00:00","15.483","---"
"2020-11-09T00:00:00.000+00:00","15.327","---"
"2020-11-10T00:00:00.000+00:00","15.303","ENTRY"
"2020-11-11T00:00:00.000+00:00","15.695","---"
"2020-11-12T00:00:00.000+00:00","16.294","---"
"2020-11-13T00:00:00.000+00:00","16.324","---"
"2020-11-14T00:00:00.000+00:00","16.071","EXIT"
"2020-11-15T00:00:00.000+00:00","15.953","ENTRY"
"2020-11-16T00:00:00.000+00:00","16.715","---"
"2020-11-17T00:00:00.000+00:00","17.662","---"
"2020-11-18T00:00:00.000+00:00","17.774","---"
"2020-11-19T00:00:00.000+00:00","17.803","---"
"2020-11-20T00:00:00.000+00:00","18.675","---"
"2020-11-21T00:00:00.000+00:00","18.687","---"
"2020-11-22T00:00:00.000+00:00","18.412","EXIT"
"2020-11-23T00:00:00.000+00:00","18.379","ENTRY"
"2020-11-24T00:00:00.000+00:00","19.152","---"
"2020-11-25T00:00:00.000+00:00","18.723","EXIT"
"2020-11-26T00:00:00.000+00:00","17.162","---"
"2020-11-27T00:00:00.000+00:00","17.127","---"
"2020-11-28T00:00:00.000+00:00","17.73","ENTRY"
"2020-11-29T00:00:00.000+00:00","18.185","---"
"2020-11-30T00:00:00.000+00:00","19.698","EXIT"
"2020-12-01T00:00:00.000+00:00","18.77","ENTRY"
"2020-12-02T00:00:00.000+00:00","19.218","---"
"2020-12-03T00:00:00.000+00:00","19.433","EXIT"
"2020-12-04T00:00:00.000+00:00","18.658","---"
"2020-12-05T00:00:00.000+00:00","19.146","ENTRY"
"2020-12-06T00:00:00.000+00:00","19.379","EXIT"
"2020-12-07T00:00:00.000+00:00","19.17","---"
"2020-12-08T00:00:00.000+00:00","18.326","---"
"2020-12-09T00:00:00.000+00:00","18.546","---"
"2020-12-10T00:00:00.000+00:00","18.247","---"
"2020-12-11T00:00:00.000+00:00","18.023","ENTRY"
"2020-12-12T00:00:00.000+00:00","18.808","---"
"2020-12-13T00:00:00.000+00:00","19.176","---"
"2020-12-14T00:00:00.000+00:00","19.273","---"
"2020-12-15T00:00:00.000+00:00","19.434","---"
"2020-12-16T00:00:00.000+00:00","21.352","---"
"2020-12-17T00:00:00.000+00:00","22.825","---"
"2020-12-18T00:00:00.000+00:00","23.127","---"
"2020-12-19T00:00:00.000+00:00","23.844","---"
"2020-12-20T00:00:00.000+00:00","23.474","EXIT"
"2020-12-21T00:00:00.000+00:00","22.728","---"
"2020-12-22T00:00:00.000+00:00","23.823","ENTRY"
"2020-12-23T00:00:00.000+00:00","23.257","EXIT"
"2020-12-24T00:00:00.000+00:00","23.736","---"
"2020-12-25T00:00:00.000+00:00","24.689","ENTRY"
"2020-12-26T00:00:00.000+00:00","26.454","---"
"2020-12-27T00:00:00.000+00:00","26.261","---"
"2020-12-28T00:00:00.000+00:00","27.057","---"
"2020-12-29T00:00:00.000+00:00","27.376","---"
"2020-12-30T00:00:00.000+00:00","28.868","---"
"2020-12-31T00:00:00.000+00:00","28.949","---"
"2021-01-01T00:00:00.000+00:00","29.359","---"
"2021-01-05T00:00:00.000+00:00","33.991","ENTRY"
"2021-01-06T00:00:00.000+00:00","36.793","---"
"2021-01-07T00:00:00.000+00:00","39.46","---"
"2021-01-08T00:00:00.000+00:00","40.599","---"
"2021-01-09T00:00:00.000+00:00","40.151","EXIT"
"2021-01-10T00:00:00.000+00:00","38.192","---"
"2021-01-11T00:00:00.000+00:00","35.544","---"
"2021-01-12T00:00:00.000+00:00","34.076","---"
"2021-01-13T00:00:00.000+00:00","37.382","---"
"2021-01-14T00:00:00.000+00:00","39.175","ENTRY"
"2021-01-15T00:00:00.000+00:00","36.845","EXIT"
"2021-01-16T00:00:00.000+00:00","36.019","---"
"2021-01-17T00:00:00.000+00:00","35.839","---"
"2021-01-02T00:00:00.000+00:00","32.193","---"
"2021-01-04T00:00:00.000+00:00","32.022","EXIT"
"2021-01-03T00:00:00.000+00:00","32.958","---"
"2021-01-18T00:00:00.000+00:00","36.613","ENTRY"
"2021-01-19T00:00:00.000+00:00","36.002","EXIT"
"2021-01-20T00:00:00.000+00:00","35.476","---"
"2021-01-21T00:00:00.000+00:00","30.842","---"
"2021-01-22T00:00:00.000+00:00","33","---"
"2021-01-23T00:00:00.000+00:00","32.088","---"
"2021-01-24T00:00:00.000+00:00","32.241","---"
"2021-01-25T00:00:00.000+00:00","32.252","---"
"2021-01-26T00:00:00.000+00:00","32.502","ENTRY"
"2021-01-27T00:00:00.000+00:00","30.404","ENTRY"
"2021-01-28T00:00:00.000+00:00","33.374","---"
"2021-01-29T00:00:00.000+00:00","34.301","---"
"2021-01-30T00:00:00.000+00:00","34.283","---"
"2021-01-31T00:00:00.000+00:00","33.108","EXIT"
"2021-02-01T00:00:00.000+00:00","33.515","ENTRY"
"2021-02-02T00:00:00.000+00:00","35.485","---"
"2021-02-03T00:00:00.000+00:00","37.646","---"
"2021-02-04T00:00:00.000+00:00","36.982","---"
"2021-02-05T00:00:00.000+00:00","38.297","---"
"2021-02-06T00:00:00.000+00:00","39.256","---"
"2021-02-07T00:00:00.000+00:00","38.852","---"
"2021-02-08T00:00:00.000+00:00","46.395","---"
"2021-02-09T00:00:00.000+00:00","46.508","EXIT"
"2021-02-10T00:00:00.000+00:00","44.836","ENTRY"
"2021-02-11T00:00:00.000+00:00","47.99","EXIT"
"2021-02-12T00:00:00.000+00:00","47.371","---"
"2021-02-13T00:00:00.000+00:00","47.168","ENTRY"
"2021-02-14T00:00:00.000+00:00","48.643","EXIT"
"2021-02-15T00:00:00.000+00:00","47.936","ENTRY"
"2021-02-16T00:00:00.000+00:00","49.169","---"
"2021-02-17T00:00:00.000+00:00","52.079","---"
"2021-02-18T00:00:00.000+00:00","51.582","---"
"2021-02-19T00:00:00.000+00:00","55.906","---"
"2021-02-20T00:00:00.000+00:00","55.923","---"
"2021-02-21T00:00:00.000+00:00","57.433","EXIT"
"2021-02-22T00:00:00.000+00:00","54.111","---"
"2021-02-23T00:00:00.000+00:00","48.911","---"
"2021-02-24T00:00:00.000+00:00","49.697","---"
"2021-02-25T00:00:00.000+00:00","46.928","---"
"2021-02-26T00:00:00.000+00:00","46.345","---"
"2021-02-27T00:00:00.000+00:00","46.136","---"
"2021-02-28T00:00:00.000+00:00","45.164","---"
"2021-03-01T00:00:00.000+00:00","49.595","ENTRY"
"2021-03-02T00:00:00.000+00:00","48.424","---"
"2021-03-03T00:00:00.000+00:00","50.395","---"
"2021-03-04T00:00:00.000+00:00","48.428","EXIT"
"2021-03-05T00:00:00.000+00:00","48.792","---"
"2021-03-06T00:00:00.000+00:00","48.855","---"
"2021-03-07T00:00:00.000+00:00","50.982","ENTRY"
"2021-03-08T00:00:00.000+00:00","52.311","---"
"2021-03-09T00:00:00.000+00:00","54.879","---"
"2021-03-10T00:00:00.000+00:00","55.851","---"
"2021-03-11T00:00:00.000+00:00","57.799","---"
"2021-03-12T00:00:00.000+00:00","57.265","---"
"2021-03-13T00:00:00.000+00:00","61.195","---"
"2021-03-14T00:00:00.000+00:00","59.113","EXIT"
"2021-03-15T00:00:00.000+00:00","55.791","---"
"2021-03-16T00:00:00.000+00:00","56.889","---"
"2021-03-17T00:00:00.000+00:00","58.913","ENTRY"
"2021-03-18T00:00:00.000+00:00","57.656","EXIT"
"2021-03-19T00:00:00.000+00:00","58.088","---"
"2021-03-20T00:00:00.000+00:00","58.093","---"
"2021-03-21T00:00:00.000+00:00","57.383","---"
"2021-03-22T00:00:00.000+00:00","54.158","---"
"2021-03-23T00:00:00.000+00:00","54.452","---"
"2021-03-24T00:00:00.000+00:00","52.325","---"
"2021-03-25T00:00:00.000+00:00","51.322","---"
"2021-03-26T00:00:00.000+00:00","55.036","ENTRY"
"2021-03-27T00:00:00.000+00:00","55.862","---"
"2021-03-28T00:00:00.000+00:00","55.765","---"
"2021-03-29T00:00:00.000+00:00","57.616","---"
"2021-03-30T00:00:00.000+00:00","58.771","---"
"2021-03-31T00:00:00.000+00:00","58.763","---"
"2021-04-01T00:00:00.000+00:00","58.718","---"
"2021-04-02T00:00:00.000+00:00","58.977","---"
"2021-04-03T00:00:00.000+00:00","57.059","EXIT"
"2021-04-04T00:00:00.000+00:00","58.199","---"
"2021-04-05T00:00:00.000+00:00","58.993","ENTRY"
"2021-04-06T00:00:00.000+00:00","57.996","EXIT"
"2021-04-07T00:00:00.000+00:00","55.948","---"
"2021-04-08T00:00:00.000+00:00","58.077","ENTRY"
"2021-04-09T00:00:00.000+00:00","58.118","---"
"2021-04-10T00:00:00.000+00:00","59.748","---"
"2021-04-11T00:00:00.000+00:00","59.978","---"
"2021-04-12T00:00:00.000+00:00","59.863","---"
"2021-04-13T00:00:00.000+00:00","63.54","---"
"2021-04-14T00:00:00.000+00:00","62.98","---"
"2021-04-15T00:00:00.000+00:00","63.216","EXIT"
"2021-04-16T00:00:00.000+00:00","61.379","---"
"2021-04-17T00:00:00.000+00:00","60.041","---"
"2021-04-18T00:00:00.000+00:00","56.207","---"
"2021-04-19T00:00:00.000+00:00","55.646","---"
"2021-04-20T00:00:00.000+00:00","56.483","---"
"2021-04-21T00:00:00.000+00:00","53.82","---"
"2021-04-22T00:00:00.000+00:00","51.729","---"
"2021-04-23T00:00:00.000+00:00","51.143","---"
"2021-04-24T00:00:00.000+00:00","50.088","---"
"2021-04-25T00:00:00.000+00:00","48.963","---"
"2021-04-26T00:00:00.000+00:00","54.02","ENTRY"
"2021-04-27T00:00:00.000+00:00","55.036","---"
"2021-04-28T00:00:00.000+00:00","54.841","---"
"2021-04-29T00:00:00.000+00:00","53.56","EXIT"
"2021-04-30T00:00:00.000+00:00","57.72","ENTRY"
"2021-05-01T00:00:00.000+00:00","57.807","---"
"2021-05-02T00:00:00.000+00:00","56.603","EXIT"
"2021-05-03T00:00:00.000+00:00","57.169","ENTRY"
"2021-05-04T00:00:00.000+00:00","53.741","EXIT"
"2021-05-05T00:00:00.000+00:00","57.441","ENTRY"
"2021-05-06T00:00:00.000+00:00","56.405","EXIT"
"2021-05-07T00:00:00.000+00:00","57.337","ENTRY"
"2021-05-08T00:00:00.000+00:00","58.84","---"
"2021-05-09T00:00:00.000+00:00","58.238","---"
"2021-05-10T00:00:00.000+00:00","55.848","EXIT"
"2021-05-11T00:00:00.000+00:00","55.029","---"
